Logical address: 63464		 Physical address: 17128		 value: 0
Logical address: 12798		 Physical address: 31230		 value: 12
Logical address: 51178		 Physical address: 42986		 value: 49
Logical address: 8627		 Physical address: 20147		 value: 108
Logical address: 27083		 Physical address: 27083		 value: 114
Logical address: 47198		 Physical address: 29790		 value: 46
Logical address: 44021		 Physical address: 57589		 value: 0
Logical address: 32792		 Physical address: 4120		 value: 0
Logical address: 43996		 Physical address: 57564		 value: 0
Logical address: 41126		 Physical address: 8870		 value: 40
Logical address: 64244		 Physical address: 4596		 value: 0
Logical address: 37047		 Physical address: 18359		 value: 45
Logical address: 60281		 Physical address: 57721		 value: 0
Logical address: 52904		 Physical address: 47784		 value: 0
Logical address: 7768		 Physical address: 57944		 value: 0
Logical address: 55359		 Physical address: 58175		 value: 15
Logical address: 3230		 Physical address: 40350		 value: 3
Logical address: 44813		 Physical address: 13069		 value: 0
Logical address: 4116		 Physical address: 50708		 value: 0
Logical address: 65222		 Physical address: 48582		 value: 63
Logical address: 28083		 Physical address: 3507		 value: 108
Logical address: 60660		 Physical address: 7412		 value: 0
Logical address: 39		 Physical address: 58407		 value: 9
Logical address: 328		 Physical address: 57160		 value: 0
Logical address: 47868		 Physical address: 56572		 value: 0
Logical address: 13009		 Physical address: 30417		 value: 0
Logical address: 22378		 Physical address: 11370		 value: 21
Logical address: 39304		 Physical address: 55688		 value: 0
Logical address: 11171		 Physical address: 40099		 value: -24
Logical address: 8079		 Physical address: 33935		 value: -29
Logical address: 52879		 Physical address: 47759		 value: -93
Logical address: 5123		 Physical address: 15107		 value: 0
Logical address: 4356		 Physical address: 58628		 value: 0
Logical address: 45745		 Physical address: 7857		 value: 0
Logical address: 32952		 Physical address: 4280		 value: 0
Logical address: 4657		 Physical address: 27697		 value: 0
Logical address: 24142		 Physical address: 33614		 value: 23
Logical address: 23319		 Physical address: 20503		 value: -59
Logical address: 13607		 Physical address: 53031		 value: 73
Logical address: 46304		 Physical address: 50144		 value: 0
Logical address: 17677		 Physical address: 9741		 value: 0
Logical address: 59691		 Physical address: 47403		 value: 74
Logical address: 50967		 Physical address: 42775		 value: -59
Logical address: 7817		 Physical address: 57993		 value: 0
Logical address: 8545		 Physical address: 20065		 value: 0
Logical address: 55297		 Physical address: 58113		 value: 0
Logical address: 52954		 Physical address: 47834		 value: 51
Logical address: 39720		 Physical address: 38184		 value: 0
Logical address: 18455		 Physical address: 5399		 value: 5
Logical address: 30349		 Physical address: 59021		 value: 0
Logical address: 63270		 Physical address: 16934		 value: 61
Logical address: 27156		 Physical address: 28692		 value: 0
Logical address: 20614		 Physical address: 56966		 value: 20
Logical address: 19372		 Physical address: 14252		 value: 0
Logical address: 48689		 Physical address: 32817		 value: 0
Logical address: 49386		 Physical address: 8682		 value: 48
Logical address: 50584		 Physical address: 18584		 value: 0
Logical address: 51936		 Physical address: 27360		 value: 0
Logical address: 34705		 Physical address: 18065		 value: 0
Logical address: 13653		 Physical address: 53077		 value: 0
Logical address: 50077		 Physical address: 59293		 value: 0
Logical address: 54518		 Physical address: 19446		 value: 53
Logical address: 41482		 Physical address: 41738		 value: 40
Logical address: 4169		 Physical address: 50761		 value: 0
Logical address: 36118		 Physical address: 54550		 value: 35
Logical address: 9584		 Physical address: 59504		 value: 0
Logical address: 18490		 Physical address: 5434		 value: 18
